repo,commenter,month,churn_add,churn_del,comment_count,commit_count,issue_count,pr_count,thread_comments_total,thread_participants_total,threads_participated,active_months,active,last_active_month,engagement_label
FreeTubeApp/FreeTube,ACR-Jeff,2024/7/1,0,0,7,0,0,0,98,62,2,7,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,ACR-Jeff,2024/8/1,0,0,1,0,0,0,29,15,1,7,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,ACR-Jeff,2025/1/1,0,0,2,0,1,0,66,31,1,7,TRUE,2025/2/1,Disengaged
FreeTubeApp/FreeTube,ACR-Jeff,2025/2/1,0,0,1,0,0,0,77,47,1,7,TRUE,2025/2/1,Disengaged
huggingface/diffusers,AMEERAZAM08,2024/6/1,0,0,0,0,0,3,0,0,0,4,TRUE,2025/4/1,Engaged
huggingface/diffusers,AMEERAZAM08,2024/7/1,0,0,0,0,0,1,0,0,0,4,TRUE,2025/4/1,Engaged
huggingface/diffusers,AMEERAZAM08,2025/1/1,87,88,0,1,0,1,0,0,0,4,TRUE,2025/4/1,Engaged
huggingface/diffusers,AMEERAZAM08,2025/4/1,1,1,0,1,0,2,0,0,0,4,TRUE,2025/4/1,Engaged
huggingface/diffusers,AMohamedAakhil,2024/2/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/5/1,Disengaged
huggingface/diffusers,AMohamedAakhil,2024/3/1,0,0,0,0,0,1,0,0,0,3,TRUE,2024/5/1,Disengaged
huggingface/diffusers,AMohamedAakhil,2024/5/1,0,0,0,0,1,1,0,0,0,3,TRUE,2024/5/1,Disengaged
godotengine/godot,AThousandShips,2024/2/1,1133,827,1,33,1,37,58,10,1,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/3/1,718,567,0,35,0,44,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/4/1,1071,915,0,15,0,16,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/5/1,3956,2835,4,27,1,26,33,11,1,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/6/1,542,175,2,12,0,17,52,16,1,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/7/1,349,209,0,8,0,9,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/8/1,846,845,2,12,1,15,44,7,1,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/9/1,326,147,0,11,0,16,0,0,0,15,TRUE,2025/4/1,Engaged
godotengine/godot,AThousandShips,2024/10/1,298,301,0,2,0,3,0,0,0,15,TRUE,2025/4/1,Engaged
