repo,commenter,month,commit_count,churn_add,churn_del
scikit-learn/scikit-learn,JosephBARBIERDARNAL,2024-10-01,1,282,70
scikit-learn/scikit-learn,InessaPawson,2024-10-01,1,1,4
scikit-learn/scikit-learn,InessaPawson,2024-09-01,1,4,1
scikit-learn/scikit-learn,aurelienmorgan,2024-10-01,3,13,0
scikit-learn/scikit-learn,JorECardenas,2024-10-01,1,6,6
scikit-learn/scikit-learn,ivanpan0626,2024-10-01,2,22,20
scikit-learn/scikit-learn,datarollhexasphericon,2024-10-01,1,22,2
scikit-learn/scikit-learn,miguelcsx,2024-10-01,1,3,1
scikit-learn/scikit-learn,bsipocz,2024-10-01,1,6,6
scikit-learn/scikit-learn,bsipocz,2024-06-01,1,1,1
scikit-learn/scikit-learn,jameslamb,2024-10-01,1,27,27
scikit-learn/scikit-learn,arifqodari,2024-10-01,1,86,24
scikit-learn/scikit-learn,arifqodari,2024-08-01,1,22,17
scikit-learn/scikit-learn,hhchen1105,2024-10-01,1,1,1
scikit-learn/scikit-learn,kbharat1210,2024-10-01,1,5,0
scikit-learn/scikit-learn,Rachit23110261,2024-10-01,1,10,11
scikit-learn/scikit-learn,JAroyan,2024-10-01,1,1,1
scikit-learn/scikit-learn,AyGeeEm,2024-10-01,1,5,0
scikit-learn/scikit-learn,azyleee,2024-10-01,1,6,0
scikit-learn/scikit-learn,nikita-chistyakov,2024-10-01,1,1,1
scikit-learn/scikit-learn,mrastgoo,2024-10-01,1,5,2
scikit-learn/scikit-learn,AdeelH,2024-09-01,1,1,1
scikit-learn/scikit-learn,Micky774,2024-09-01,1,29,25
scikit-learn/scikit-learn,soeren-b-c,2024-09-01,1,2,2
scikit-learn/scikit-learn,doshi-kevin,2024-09-01,1,3,0
scikit-learn/scikit-learn,Shree7676,2024-09-01,1,14,2
scikit-learn/scikit-learn,Shree7676,2024-08-01,1,6,6
scikit-learn/scikit-learn,vjcitn,2024-09-01,1,7,0
scikit-learn/scikit-learn,dymil,2024-09-01,1,1,1
scikit-learn/scikit-learn,CaileanCarter,2024-09-01,1,3,3
scikit-learn/scikit-learn,pplonski,2024-09-01,1,4,0
scikit-learn/scikit-learn,maawoo,2024-09-01,1,6,6
scikit-learn/scikit-learn,brdav,2024-09-01,1,7,7
scikit-learn/scikit-learn,rwelsch427,2024-08-01,1,8,0
scikit-learn/scikit-learn,mozgit,2024-08-01,1,9,6
scikit-learn/scikit-learn,xuefeng-xu,2024-08-01,2,21,15
scikit-learn/scikit-learn,xuefeng-xu,2024-06-01,1,34,1
scikit-learn/scikit-learn,xuefeng-xu,2024-04-01,1,1,1
scikit-learn/scikit-learn,xuefeng-xu,2024-03-01,1,22,15
scikit-learn/scikit-learn,davidcherney,2024-08-01,1,5,2
scikit-learn/scikit-learn,albertotb,2024-08-01,1,82,2
